Cluster,Tema Predominante,Frequência,Percentual
16,Direito Penal e Processual Penal,51,26.15
7,Direitos Humanos e Minorias,32,21.77
15,Direito Penal e Processual Penal,30,28.57
0,Direitos Humanos e Minorias,28,19.58
22,Direitos Humanos e Minorias,24,15.29
13,Direitos Humanos e Minorias,21,14.19
19,Direitos Humanos e Minorias,21,20.0
21,Direitos Humanos e Minorias,20,12.42
8,Direito Penal e Processual Penal,20,15.5
14,Direitos Humanos e Minorias,19,10.44
4,Direitos Humanos e Minorias,16,10.74
10,Saúde,16,13.79
23,Direitos Humanos e Minorias,15,12.0
12,Finanças Públicas e Orçamento,14,10.94
1,Saúde,12,8.82
24,Direitos Humanos e Minorias,10,7.87
3,Direito Penal e Processual Penal,9,18.75
20,Educação,8,26.67
17,Finanças Públicas e Orçamento,8,7.69
2,Erro: HTTPSConnectionPool(host='dadosabertos.camara.leg.br',5,50.0
18,Educação,3,18.75
6,Energia,2,15.38
5,Finanças Públicas e Orçamento,1,33.33
9,Finanças Públicas e Orçamento,1,25.0
11,Educação,1,16.67
